,features,coef,abs_val
0,BsmtFinSF1,0.191019877053173,0.191019877053173
1,BsmtUnfSF,0.15917164513097926,0.15917164513097926
2,yeo_TotalBsmtSF,-0.12006093445370179,0.12006093445370179
3,BsmtFinSF2,0.08120898918743719,0.08120898918743719
4,2ndFlrSF,0.06453461512734145,0.06453461512734145
5,OverallQual,0.06316049960982664,0.06316049960982664
6,bc_GrLivArea,0.06210236729223908,0.06210236729223908
7,log_first_FlrSF,0.05177603929200303,0.05177603929200303
8,house_age_,-0.051575185884988495,0.051575185884988495
9,OverallCond,0.05139346301034853,0.05139346301034853
10,bc_LotArea,0.03911218436807489,0.03911218436807489
11,GarageFinish_No,0.02464198631373028,0.02464198631373028
12,GarageCond,0.0245579064077682,0.0245579064077682
13,MSZoning_RM,-0.023723749424617295,0.023723749424617295
14,GarageCars,0.023040468555145615,0.023040468555145615
15,Neighborhood_NoRidge_NridgHt_Veenker_StoneBr,0.021264645330945162,0.021264645330945162
16,log_OpenPorchSF,0.019616898071359738,0.019616898071359738
17,Functional,0.018043999217738638,0.018043999217738638
18,BsmtQual,0.016962146112877864,0.016962146112877864
19,has_openporch,-0.01570187338457639,0.01570187338457639
20,BsmtExposure,0.015368269569837249,0.015368269569837249
21,Neighborhood_Somerst_Timber,0.01462886675827856,0.01462886675827856
22,Fireplaces,0.014573052007072585,0.014573052007072585
23,Condition1_Norm,0.01451823978636745,0.01451823978636745
24,HeatingQC,0.013946509936837038,0.013946509936837038
25,BedroomAbvGr,-0.01363331565859024,0.01363331565859024
26,KitchenAbvGr,-0.012890974987836026,0.012890974987836026
27,Neighborhood_ClearCr_CollgCr_Crawfor,0.01269020509309335,0.01269020509309335
28,yeo_GarageArea,0.012318534603482425,0.012318534603482425
29,KitchenQual,0.01199371194456487,0.01199371194456487
30,MSSubClass_50,0.011410715787236049,0.011410715787236049
31,ExterQual,0.011062817665743276,0.011062817665743276
32,TotRmsAbvGrd,0.010349388353508534,0.010349388353508534
33,BsmtFullBath,0.010272028336311525,0.010272028336311525
34,CentralAir_Y,0.009710299467404562,0.009710299467404562
35,MSSubClass_70,0.009642202440760255,0.009642202440760255
36,ScreenPorch,0.009419199214589518,0.009419199214589518
37,MSZoning_RL,-0.009329151629664434,0.009329151629664434
38,Foundation_PConc,0.009159391104683164,0.009159391104683164
39,FireplaceQu,0.008781816370466086,0.008781816370466086
40,HouseStyle_1Story,0.008535070053483638,0.008535070053483638
41,has_finsished_basement,-0.00818742446277368,0.00818742446277368
42,PavedDrive_Y,0.007383554273906593,0.007383554273906593
43,years_since_remodeled_,-0.00733718917705955,0.00733718917705955
44,MoSold_7,0.006193526414081341,0.006193526414081341
45,Neighborhood_BrkSide_Edwards_Blueste_OldTown_IDOTRR,-0.005381976375121397,0.005381976375121397
